,Country,GDP
2015-10-05,Argentina,-1.166511669
2015-10-06,Argentina,-1.166511669
2015-10-07,Argentina,-1.166511669
2015-10-08,Argentina,-1.166511669
2015-10-09,Argentina,-1.166511669
2015-10-10,Argentina,-1.166511669
2015-10-11,Argentina,-1.166511669
2015-10-12,Argentina,-1.166511669
2015-10-13,Argentina,-1.166511669
2015-10-14,Argentina,-1.166511669
2015-10-15,Argentina,-1.166511669
2015-10-16,Argentina,-1.166511669
2015-10-17,Argentina,-1.166511669
2015-10-18,Argentina,-1.166511669
2015-10-19,Argentina,-1.166511669
2015-10-20,Argentina,-1.166511669
2015-10-21,Argentina,-1.166511669
2015-10-22,Argentina,-1.166511669
2015-10-23,Argentina,-1.166511669
2015-10-24,Argentina,-1.166511669
2015-10-25,Argentina,-1.166511669
2015-10-26,Argentina,-1.166511669
2015-10-27,Argentina,-1.166511669
2015-10-28,Argentina,-1.166511669
2015-10-29,Argentina,-1.166511669
2015-10-30,Argentina,-1.166511669
2015-10-31,Argentina,-1.166511669
2015-11-01,Argentina,-1.166511669
2015-11-02,Argentina,-1.166511669
2015-11-03,Argentina,-1.166511669
2015-11-04,Argentina,-1.166511669
2015-11-05,Argentina,-1.166511669
2015-11-06,Argentina,-1.166511669
2015-11-07,Argentina,-1.166511669
2015-11-08,Argentina,-1.166511669
2015-11-09,Argentina,-1.166511669
2015-11-10,Argentina,-1.166511669
2015-11-11,Argentina,-1.166511669
2015-11-12,Argentina,-1.166511669
2015-11-13,Argentina,-1.166511669
2015-11-14,Argentina,-1.166511669
2015-11-15,Argentina,-1.166511669
2015-11-16,Argentina,-1.166511669
2015-11-17,Argentina,-1.166511669
2015-11-18,Argentina,-1.166511669
2015-11-19,Argentina,-1.166511669
2015-11-20,Argentina,-1.166511669
2015-11-21,Argentina,-1.166511669
2015-11-22,Argentina,-1.166511669
2015-11-23,Argentina,-1.166511669
2015-11-24,Argentina,-1.166511669
2015-11-25,Argentina,-1.166511669
2015-11-26,Argentina,-1.166511669
2015-11-27,Argentina,-1.166511669
2015-11-28,Argentina,-1.166511669
2015-11-29,Argentina,-1.166511669
2015-11-30,Argentina,-1.166511669
2015-12-01,Argentina,-1.166511669
2015-12-02,Argentina,-1.166511669
2015-12-03,Argentina,-1.166511669
2015-12-04,Argentina,-1.166511669
2015-12-05,Argentina,-1.166511669
2015-12-06,Argentina,-1.166511669
2015-12-07,Argentina,-1.166511669
2015-12-08,Argentina,-1.166511669
2015-12-09,Argentina,-1.166511669
2015-12-10,Argentina,-1.166511669
2015-12-11,Argentina,-1.166511669
2015-12-12,Argentina,-1.166511669
2015-12-13,Argentina,-1.166511669
2015-12-14,Argentina,-1.166511669
2015-12-15,Argentina,-1.166511669
2015-12-16,Argentina,-1.166511669
2015-12-17,Argentina,-1.166511669
2015-12-18,Argentina,-1.166511669
2015-12-19,Argentina,-1.166511669
2015-12-20,Argentina,-1.166511669
2015-12-21,Argentina,-1.166511669
2015-12-22,Argentina,-1.166511669
2015-12-23,Argentina,-1.166511669
2015-12-24,Argentina,-1.166511669
2015-12-25,Argentina,-1.166511669
2015-12-26,Argentina,-1.166511669
2015-12-27,Argentina,-1.166511669
2015-12-28,Argentina,-1.166511669
2015-12-29,Argentina,-1.166511669
2015-12-30,Argentina,-1.166511669
2015-12-31,Argentina,-1.166511669
2016-01-01,Argentina,-0.712356726
2016-01-02,Argentina,-0.712356726
2016-01-03,Argentina,-0.712356726
2016-01-04,Argentina,-0.712356726
2016-01-05,Argentina,-0.712356726
2016-01-06,Argentina,-0.712356726
2016-01-07,Argentina,-0.712356726
2016-01-08,Argentina,-0.712356726
2016-01-09,Argentina,-0.712356726
2016-01-10,Argentina,-0.712356726
2016-01-11,Argentina,-0.712356726
2016-01-12,Argentina,-0.712356726
2016-01-13,Argentina,-0.712356726
2016-01-14,Argentina,-0.712356726
2016-01-15,Argentina,-0.712356726
2016-01-16,Argentina,-0.712356726
2016-01-17,Argentina,-0.712356726
2016-01-18,Argentina,-0.712356726
